,country,year,population
0,country_42,2023,34.071340634441086
1,country_1,2018,12.336244495468277
2,country_4,2029,5.8893939026842865
3,country_38,2002,10.971321051359515
4,country_15,2016,40.72440345015106
5,country_38,2010,11.446509317220544
6,country_21,2016,30.056621873111784
7,country_4,2022,5.781261607250755
8,country_6,2020,18.81446324471299
9,country_1,2010,10.976940652567976
10,country_15,2022,41.561660858006036
11,country_38,2015,11.63644658610272
12,country_14,2025,32.72597951661632
13,country_6,2016,17.86282698489426
14,country_42,2011,31.720829957703927
15,country_22,2028,60.50262532893327
16,country_16,2016,5.259487432024169
17,country_4,2013,5.526457631419939
18,country_35,2026,23.049147885940744
19,country_5,2014,100.46300059214501
20,country_41,2013,157.06096297457285
21,country_1,2014,11.691279564954682
22,country_35,2003,21.10519121450151
23,country_21,2030,29.272068496521623
24,country_6,2012,17.17532870392749
25,country_41,2022,165.06506480362538
26,country_42,2010,31.44232178851964
27,country_5,2012,98.74053485196374
28,country_4,2026,5.840412903775015
29,country_38,2009,11.404220604229607
30,country_38,2022,11.852952598187311
31,country_35,2017,23.112320821752263
32,country_21,2007,29.10770152265861
33,country_38,2013,11.564159250755287
34,country_41,2001,141.54746104399922
35,country_6,2026,20.026865580648646
36,country_1,2028,13.721930136100488
37,country_15,2011,40.06140074924471
38,country_35,2002,20.769824592145014
39,country_4,2027,5.85605513443505
40,country_8,2008,670.6507413172206
41,country_15,2013,40.21932383081571
42,country_4,2028,5.87240928725217
43,country_15,2015,40.523067685850144
44,country_35,2030,22.93449296850091
45,country_35,2021,23.160771673716013
46,country_8,2019,710.3943655589123
47,country_1,2019,12.487384925981875
48,country_42,2000,29.194630441087615
49,country_35,2015,23.124458803600604
50,country_8,2023,719.4831117824774
51,country_1,2016,12.021404132930513
52,country_38,2003,11.05208287613293
53,country_15,2001,40.357816132930516
54,country_22,2029,60.171408328416305
55,country_37,2000,3.5395069607250758
56,country_4,2009,5.380755770392749
57,country_16,2001,5.516770235649546
58,country_15,2007,40.2705864652568
59,country_8,2029,725.679854824503
60,country_22,2007,63.66472914803625
61,country_37,2011,3.9176637099697884
62,country_22,2023,61.9738163141994
63,country_14,2020,32.340954090622056
64,country_16,2027,4.982002555158226
65,country_38,2020,11.801017613293052
66,country_22,2018,63.02464259818731
67,country_14,2008,30.822688664652567
68,country_6,2025,19.818089134831247
69,country_5,2001,87.79502373413898
70,country_14,2019,32.26971417522658
71,country_14,2027,32.858648927744206
72,country_38,2014,11.600721836858005
73,country_5,2030,110.93556145189173
74,country_4,2007,5.300307577039274
75,country_41,2000,140.11326721450152
76,country_1,2011,11.166864543806646
77,country_38,2026,11.929647390811366
78,country_8,2024,721.0325649546828
79,country_35,2025,23.077472555916014
80,country_15,2019,41.380047208446825
81,country_41,2026,168.44212433520238
82,country_37,2025,4.4279658126888215
83,country_16,2017,5.2368271903571
84,country_8,2004,655.5464686525679
85,country_8,2014,693.385046102719
86,country_15,2004,40.45323787311178
87,country_16,2010,5.394478755287009
88,country_37,2012,3.9677159154078554
89,country_14,2002,29.630707927492445
90,country_6,2008,16.44925809365559
91,country_14,2021,32.416596241667065
92,country_14,2011,31.324607939577035
93,country_21,2029,29.347343370662884
94,country_5,2027,109.57148431355081
95,country_15,2021,41.57002262863414
96,country_5,2023,107.33916435045319
97,country_5,2011,97.86218702114803
98,country_14,2029,32.984926202431055
99,country_38,2005,11.199013003021149
100,country_6,2010,16.825277392749246
101,country_22,2021,62.454172809667675
102,country_35,2016,23.105737039274928
103,country_38,2025,11.913652416918428
104,country_6,2015,17.67734942598187
105,country_1,2026,13.450136389895674
106,country_41,2029,171.14858239670085
107,country_16,2023,5.084362682779457
108,country_42,2009,31.129586175226585
109,country_37,2030,4.56073971124063
110,country_38,2028,11.957212608352476
111,country_38,2018,11.739669474345014
112,country_16,2013,5.321577039274925
113,country_15,2028,41.29479150340384
114,country_8,2006,663.1390275166162
115,country_37,2007,3.73433549244713
116,country_5,2010,96.96989770392749
117,country_41,2015,159.62873922024923
118,country_21,2002,28.332124217522658
119,country_6,2019,18.59700803927492
120,country_37,2024,4.401668833836858
121,country_37,2019,4.256748821752266
122,country_42,2020,33.63536570996979
123,country_8,2022,717.6716797583083
124,country_8,2001,643.6775810513595
125,country_8,2009,674.4162680241693
126,country_5,2005,92.22007520241692
127,country_37,2014,4.065813679758308
128,country_16,2030,4.911278141669792
129,country_6,2011,16.993794329305135
130,country_42,2004,29.665049824773416
131,country_4,2005,5.225647444108762
132,country_35,2011,23.328747311178248
133,country_42,2008,30.790924193353476
134,country_42,2030,35.12102673077148
135,country_42,2006,30.135052519637462
136,country_5,2018,103.78540474924472
137,country_16,2019,5.189264712990936
138,country_14,2000,29.240107987915405
139,country_22,2027,60.82272635405818
140,country_1,2020,12.634382870090633
141,country_37,2005,3.6599330030211474
142,country_1,2000,9.40965161329305
143,country_6,2022,19.191796340698758
144,country_4,2010,5.419798175226586
145,country_21,2004,28.7116058489426
146,country_4,2008,5.340532664652568
147,country_37,2009,3.821991758308157
148,country_5,2026,109.06033096604439
149,country_14,2012,31.49405511782477
150,country_22,2012,63.62980557099698
151,country_21,2018,30.038899468277943
152,country_6,2017,18.08195080362538
153,country_35,2020,23.16550934138973
154,country_21,2014,29.931050392749242
155,country_42,2024,34.198134682779454
156,country_41,2010,153.42179962278445
157,country_16,2000,5.490830984894259
158,country_1,2004,9.849735456193354
159,country_15,2002,40.398066489425986
160,country_5,2004,91.16937427190334
161,country_6,2027,20.235642026466042
162,country_1,2023,13.052154290030211
163,country_38,2011,11.487436978851962
164,country_5,2015,101.3092752748006
165,country_14,2010,31.15481244712991
166,country_1,2027,13.584084871083023
167,country_14,2013,31.657214803625376
168,country_42,2018,33.26657454987372
169,country_37,2023,4.374768870090634
170,country_35,2008,22.825634453172203
171,country_41,2009,152.34621160226257
172,country_42,2027,34.58998306143346
173,country_22,2020,62.66508126888217
174,country_37,2013,4.017691818731118
175,country_37,2026,4.4539352329400215
176,country_42,2012,31.97024522054381
177,country_1,2024,13.185855166163144
178,country_5,2008,95.14495277341389
179,country_6,2003,15.65844959818731
180,country_8,2000,639.4269651359516
181,country_4,2018,5.689054960725075
182,country_8,2002,647.7515714441088
183,country_22,2005,63.58151970996979
184,country_16,2009,5.429971625377643
185,country_8,2030,726.1612341622798
186,country_4,2017,5.658122876132931
187,country_22,2024,61.70756404833838
188,country_16,2018,5.213439105740182
189,country_41,2006,148.28455701031498
190,country_35,2009,23.080678731117825
